algorithm,graph,timeout,interrupted,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
kKaHyPar,3Dspectralwave2.mtx.hgr,no,no,3,16,0.03,0.0284916,196.376,km1,65546,60632,no
kKaHyPar,3Dspectralwave2.mtx.hgr,no,no,4,16,0.03,0.0289299,249.488,km1,66794,61801,no
kKaHyPar,3Dspectralwave2.mtx.hgr,no,no,5,16,0.03,0.0298066,212.17,km1,65283,60538,no
kKaHyPar,3Dspectralwave2.mtx.hgr,no,no,6,16,0.03,0.029971,220.059,km1,64552,59663,no
kKaHyPar,3Dspectralwave2.mtx.hgr,no,no,7,16,0.03,0.029971,198.489,km1,64829,60389,no
kKaHyPar,3Dspectralwave2.mtx.hgr,no,no,8,16,0.03,0.0291491,255.285,km1,65940,60579,no
kKaHyPar,3Dspectralwave2.mtx.hgr,no,no,9,16,0.03,0.029971,237.586,km1,65666,60103,no
kKaHyPar,3Dspectralwave2.mtx.hgr,no,no,0,2,0.03,0.0299718,78.7948,km1,7042,7042,no
kKaHyPar,3Dspectralwave2.mtx.hgr,no,no,1,2,0.03,0.0274034,74.0453,km1,7268,7268,no
kKaHyPar,3Dspectralwave2.mtx.hgr,no,no,2,2,0.03,0.00188351,95.0389,km1,7268,7268,no
kKaHyPar,3Dspectralwave2.mtx.hgr,no,no,3,2,0.03,0.0294992,72.7913,km1,7043,7043,no
kKaHyPar,3Dspectralwave2.mtx.hgr,no,no,4,2,0.03,0.00188351,71.8572,km1,7268,7268,no
kKaHyPar,3Dspectralwave2.mtx.hgr,no,no,5,2,0.03,0.0188967,73.0779,km1,7268,7268,no
kKaHyPar,3Dspectralwave2.mtx.hgr,no,no,6,2,0.03,0.0299992,122.225,km1,6968,6968,no
kKaHyPar,3Dspectralwave2.mtx.hgr,no,no,7,2,0.03,0.0135476,76.2496,km1,7268,7268,no
